time,time,turbidity,pH
2020-11-04 11:46:47.357143+00:00,2020-11-04 11:46:47.357143+00:00,1000.0,7.3
2020-11-05 21:03:38.902611+00:00,2020-11-05 21:03:38.902611+00:00,37.73466229,7.36
2020-11-05 21:33:54.944352+00:00,2020-11-05 21:33:54.944352+00:00,37.97599715,7.35
2020-11-05 22:34:27.035608+00:00,2020-11-05 22:34:27.035608+00:00,42.73466229,7.35
2020-11-05 23:04:43.071267+00:00,2020-11-05 23:04:43.071267+00:00,47.73466229,7.39
2020-11-05 23:34:59.139842+00:00,2020-11-05 23:34:59.139842+00:00,47.73466229,7.36
2020-11-06 00:05:15.172488+00:00,2020-11-06 00:05:15.172488+00:00,50.85615918,7.35
2020-11-06 00:35:31.220269+00:00,2020-11-06 00:35:31.220269+00:00,49.73466229,7.35
2020-11-06 01:05:47.272350+00:00,2020-11-06 01:05:47.272350+00:00,37.73466229,7.4
2020-11-06 01:36:03.312528+00:00,2020-11-06 01:36:03.312528+00:00,37.61150649,7.35
2020-11-06 02:06:19.352751+00:00,2020-11-06 02:06:19.352751+00:00,32.97599715,7.36
2020-11-06 09:40:20.031331+00:00,2020-11-06 09:40:20.031331+00:00,35.97599715,7.34
2020-11-06 10:10:36.081495+00:00,2020-11-06 10:10:36.081495+00:00,37.73466229,7.37
2020-11-06 11:11:08.173673+00:00,2020-11-06 11:11:08.173673+00:00,38.61150649,7.36
2020-11-06 11:41:24.224612+00:00,2020-11-06 11:41:24.224612+00:00,40.09417621,7.35
2020-11-06 12:11:40.267604+00:00,2020-11-06 12:11:40.267604+00:00,50.85615918,7.35
2020-11-06 12:41:56.318674+00:00,2020-11-06 12:41:56.318674+00:00,53.85615918,7.35
2020-11-06 13:12:12.362634+00:00,2020-11-06 13:12:12.362634+00:00,50.73466229,7.35
2020-11-06 13:42:28.402507+00:00,2020-11-06 13:42:28.402507+00:00,47.73466229,7.35
2020-11-06 14:12:44.442544+00:00,2020-11-06 14:12:44.442544+00:00,47.73466229,7.35
2020-11-06 14:43:00.502584+00:00,2020-11-06 14:43:00.502584+00:00,47.48669177,7.34
2020-11-06 15:13:16.544281+00:00,2020-11-06 15:13:16.544281+00:00,45.73466229,7.35
2020-11-06 15:43:32.602733+00:00,2020-11-06 15:43:32.602733+00:00,43.48669177,7.35
2020-11-06 16:13:48.636276+00:00,2020-11-06 16:13:48.636276+00:00,43.97599715,7.35
2020-11-06 16:44:04.676902+00:00,2020-11-06 16:44:04.676902+00:00,42.73466229,7.35
2020-11-06 17:14:20.719784+00:00,2020-11-06 17:14:20.719784+00:00,41.73466229,7.36
2020-11-06 17:44:36.774190+00:00,2020-11-06 17:44:36.774190+00:00,40.73466229,7.35
2020-11-06 18:14:52.826169+00:00,2020-11-06 18:14:52.826169+00:00,39.85615918,7.35
2020-11-06 18:45:08.875723+00:00,2020-11-06 18:45:08.875723+00:00,40.61150649,7.34
2020-11-06 19:15:24.913509+00:00,2020-11-06 19:15:24.913509+00:00,39.73466229,7.37
2020-11-06 19:45:40.962131+00:00,2020-11-06 19:45:40.962131+00:00,39.73466229,7.35
2020-11-06 20:15:56.995583+00:00,2020-11-06 20:15:56.995583+00:00,39.48669177,7.35
2020-11-06 20:46:13.047066+00:00,2020-11-06 20:46:13.047066+00:00,39.48669177,7.35
2020-11-06 21:16:29.095232+00:00,2020-11-06 21:16:29.095232+00:00,37.09417621,7.35
2020-11-06 21:46:45.143300+00:00,2020-11-06 21:46:45.143300+00:00,36.85615918,7.3
2020-11-06 22:17:01.195419+00:00,2020-11-06 22:17:01.195419+00:00,35.97599715,7.3
2020-11-06 22:47:17.245431+00:00,2020-11-06 22:47:17.245431+00:00,35.73466229,7.3
2020-11-12 21:57:18.752276+00:00,2020-11-12 21:57:18.752276+00:00,33.85615918,7.35
2020-11-12 22:27:34.814333+00:00,2020-11-12 22:27:34.814333+00:00,35.97599715,7.35
2020-11-12 22:57:50.858115+00:00,2020-11-12 22:57:50.858115+00:00,39.48669177,7.35
2020-11-12 23:28:06.931813+00:00,2020-11-12 23:28:06.931813+00:00,38.85615918,7.36
2020-11-12 23:58:22.991919+00:00,2020-11-12 23:58:22.991919+00:00,37.61150649,7.35
2020-11-13 00:28:39.029634+00:00,2020-11-13 00:28:39.029634+00:00,36.73466229,7.35
2020-11-13 19:08:33.045818+00:00,2020-11-13 19:08:33.045818+00:00,35.61150649,7.35
2020-11-13 19:38:49.102091+00:00,2020-11-13 19:38:49.102091+00:00,38.73466229,7.35
2020-11-13 20:09:05.171648+00:00,2020-11-13 20:09:05.171648+00:00,37.97599715,7.36
2020-11-13 20:39:21.242662+00:00,2020-11-13 20:39:21.242662+00:00,41.61150649,7.36
2020-11-13 21:09:37.282217+00:00,2020-11-13 21:09:37.282217+00:00,50.09417621,7.39
2020-11-13 21:39:53.336963+00:00,2020-11-13 21:39:53.336963+00:00,55.48669177,7.35
2020-11-13 22:10:09.389225+00:00,2020-11-13 22:10:09.389225+00:00,66.85615918,7.35
2020-11-13 22:40:25.429616+00:00,2020-11-13 22:40:25.429616+00:00,63.61150649,7.36
2020-11-13 23:10:41.495390+00:00,2020-11-13 23:10:41.495390+00:00,65.73466229,7.38
2020-11-13 23:40:57.541244+00:00,2020-11-13 23:40:57.541244+00:00,63.61150649,7.35
2020-11-14 00:11:13.608538+00:00,2020-11-14 00:11:13.608538+00:00,63.97599715,7.35
2020-11-14 00:41:29.675325+00:00,2020-11-14 00:41:29.675325+00:00,63.61150649,7.35
2020-11-14 01:11:45.727333+00:00,2020-11-14 01:11:45.727333+00:00,62.97599715,7.36
2020-11-14 01:42:01.786476+00:00,2020-11-14 01:42:01.786476+00:00,62.85615918,7.35
2020-11-14 02:12:17.827028+00:00,2020-11-14 02:12:17.827028+00:00,62.61150649,7.35
2020-11-14 02:42:33.915215+00:00,2020-11-14 02:42:33.915215+00:00,61.85615918,7.36
2020-11-14 03:43:06.028287+00:00,2020-11-14 03:43:06.028287+00:00,60.85615918,7.36
2020-11-14 04:13:22.067267+00:00,2020-11-14 04:13:22.067267+00:00,35.73466229,7.35
2020-11-14 17:44:19.164530+00:00,2020-11-14 17:44:19.164530+00:00,40.97599715,7.35
2020-11-14 18:14:35.219092+00:00,2020-11-14 18:14:35.219092+00:00,90.73466229,7.35
2020-11-14 18:44:51.300974+00:00,2020-11-14 18:44:51.300974+00:00,130.9759972,7.35
2020-11-14 19:15:07.351303+00:00,2020-11-14 19:15:07.351303+00:00,133.8561592,7.35
2020-11-14 19:45:23.399550+00:00,2020-11-14 19:45:23.399550+00:00,140.0941762,7.36
2020-11-14 20:15:39.462711+00:00,2020-11-14 20:15:39.462711+00:00,155.9759972,7.36
2020-11-14 20:45:55.522757+00:00,2020-11-14 20:45:55.522757+00:00,125.0941762,7.35
2020-11-14 21:16:11.589362+00:00,2020-11-14 21:16:11.589362+00:00,126.0941762,7.35
2020-11-14 21:46:27.646087+00:00,2020-11-14 21:46:27.646087+00:00,110.8561592,7.35
2020-11-14 22:16:43.699278+00:00,2020-11-14 22:16:43.699278+00:00,102.7346623,7.35
2020-11-14 22:46:59.760800+00:00,2020-11-14 22:46:59.760800+00:00,100.61150649999999,7.35
2020-11-14 23:17:15.822085+00:00,2020-11-14 23:17:15.822085+00:00,95.97599715,7.34
2020-11-14 23:47:31.879899+00:00,2020-11-14 23:47:31.879899+00:00,95.73466229,7.35
2020-11-15 00:17:47.940881+00:00,2020-11-15 00:17:47.940881+00:00,92.09417621,7.39
2020-11-15 00:48:03.980406+00:00,2020-11-15 00:48:03.980406+00:00,89.61150649,7.35
2020-11-15 01:18:20.060234+00:00,2020-11-15 01:18:20.060234+00:00,85.97599715,7.35
2020-11-15 01:48:36.100481+00:00,2020-11-15 01:48:36.100481+00:00,88.61150649,7.35
2020-11-15 02:18:52.160486+00:00,2020-11-15 02:18:52.160486+00:00,82.85615918,7.33
2020-11-15 02:49:08.220440+00:00,2020-11-15 02:49:08.220440+00:00,70.85615918,7.35
2020-11-15 03:19:24.279519+00:00,2020-11-15 03:19:24.279519+00:00,67.97599715,7.37
2020-11-15 03:49:40.341381+00:00,2020-11-15 03:49:40.341381+00:00,65.85615918,7.35
2020-11-15 04:19:56.407948+00:00,2020-11-15 04:19:56.407948+00:00,53.61150649,7.35
2020-11-15 04:50:12.457615+00:00,2020-11-15 04:50:12.457615+00:00,40.97599715,7.35
2020-11-17 20:26:21.676559+00:00,2020-11-17 20:26:21.676559+00:00,39.97599715,7.35
2020-11-17 20:56:37.735037+00:00,2020-11-17 20:56:37.735037+00:00,46.21069636,7.35
2020-11-17 21:26:53.791255+00:00,2020-11-17 21:26:53.791255+00:00,48.97599715,7.35
2020-11-17 21:57:09.848484+00:00,2020-11-17 21:57:09.848484+00:00,50.09417621,7.35
2020-11-17 22:27:25.894124+00:00,2020-11-17 22:27:25.894124+00:00,59.85615918,7.35
2020-11-17 22:57:41.959856+00:00,2020-11-17 22:57:41.959856+00:00,77.97599715,7.34
2020-11-17 23:27:58.035168+00:00,2020-11-17 23:27:58.035168+00:00,88.85615918,7.35
2020-11-17 23:58:14.065228+00:00,2020-11-17 23:58:14.065228+00:00,100.97599720000001,7.35
2020-11-18 00:28:30.145335+00:00,2020-11-18 00:28:30.145335+00:00,122.7346623,7.35
2020-11-18 00:58:46.215245+00:00,2020-11-18 00:58:46.215245+00:00,155.9759972,7.35
2020-11-18 01:29:02.247532+00:00,2020-11-18 01:29:02.247532+00:00,156.73466230000002,7.35
2020-11-18 01:59:18.334958+00:00,2020-11-18 01:59:18.334958+00:00,170.8561592,7.4
2020-11-18 02:29:34.386438+00:00,2020-11-18 02:29:34.386438+00:00,180.0941762,7.36
2020-11-18 02:59:50.426684+00:00,2020-11-18 02:59:50.426684+00:00,178.9759972,7.34
2020-11-18 03:30:06.486823+00:00,2020-11-18 03:30:06.486823+00:00,133.8561592,7.35
2020-11-18 04:00:22.566670+00:00,2020-11-18 04:00:22.566670+00:00,123.8561592,7.35
2020-11-18 04:30:38.626913+00:00,2020-11-18 04:30:38.626913+00:00,118.0941762,7.35
2020-11-18 05:00:54.675843+00:00,2020-11-18 05:00:54.675843+00:00,90.73466229,7.36
2020-11-18 05:31:10.747044+00:00,2020-11-18 05:31:10.747044+00:00,88.97599715,7.35
2020-11-18 06:01:26.797318+00:00,2020-11-18 06:01:26.797318+00:00,75.61150649,7.35
2020-11-18 06:31:42.874752+00:00,2020-11-18 06:31:42.874752+00:00,75.97599715,7.35
2020-11-20 07:27:40.723894+00:00,2020-11-20 07:27:40.723894+00:00,1000.0,7.36
2020-11-20 08:58:28.911188+00:00,2020-11-20 08:58:28.911188+00:00,1000.0,7.35
2020-11-20 12:00:05.242780+00:00,2020-11-20 12:00:05.242780+00:00,1000.0,7.35
2020-11-20 12:30:21.301197+00:00,2020-11-20 12:30:21.301197+00:00,1000.0,7.35
2020-11-20 14:39:52.730104+00:00,2020-11-20 14:39:52.730104+00:00,1000.0,7.35
2020-11-20 15:10:08.789632+00:00,2020-11-20 15:10:08.789632+00:00,1000.0,7.36
2020-11-20 15:40:24.841347+00:00,2020-11-20 15:40:24.841347+00:00,1000.0,7.35
2020-11-20 16:10:40.909649+00:00,2020-11-20 16:10:40.909649+00:00,1000.0,7.35
2020-11-20 16:40:56.990727+00:00,2020-11-20 16:40:56.990727+00:00,1000.0,7.36
2020-11-20 17:11:13.028976+00:00,2020-11-20 17:11:13.028976+00:00,1000.0,7.35
2020-11-20 17:41:29.093600+00:00,2020-11-20 17:41:29.093600+00:00,1000.0,7.35
2020-11-20 18:42:01.209729+00:00,2020-11-20 18:42:01.209729+00:00,1000.0,7.35
2020-11-21 21:26:12.449462+00:00,2020-11-21 21:26:12.449462+00:00,1000.0,7.35
2020-11-22 06:00:45.455944+00:00,2020-11-22 06:00:45.455944+00:00,1000.0,7.35
2020-11-22 06:31:01.507278+00:00,2020-11-22 06:31:01.507278+00:00,1000.0,7.35
2020-11-22 07:01:17.575257+00:00,2020-11-22 07:01:17.575257+00:00,1000.0,7.35
2020-11-22 12:34:14.224601+00:00,2020-11-22 12:34:14.224601+00:00,1000.0,7.35
2020-11-22 13:04:30.290643+00:00,2020-11-22 13:04:30.290643+00:00,1000.0,7.35
2020-11-22 18:07:10.907697+00:00,2020-11-22 18:07:10.907697+00:00,1000.0,7.35
2020-11-28 22:49:17.820898+00:00,2020-11-28 22:49:17.820898+00:00,1000.0,7.35
2020-11-29 22:01:36.359777+00:00,2020-11-29 22:01:36.359777+00:00,67.97599715,7.35
2020-11-29 22:31:52.410155+00:00,2020-11-29 22:31:52.410155+00:00,78.97599715,7.35
2020-11-29 23:02:08.469977+00:00,2020-11-29 23:02:08.469977+00:00,70.85615918,7.35
2020-11-29 23:32:24.518134+00:00,2020-11-29 23:32:24.518134+00:00,67.85615918,7.35
