,time,data_rate,rssi,sensor,snr
0,2019-10-24 13:47:57.612864+00:00,SF12BW125,-106,trial,1.8
1,2019-10-24 13:48:23.223511808+00:00,SF12BW125,-103,trial,5.2
2,2019-10-24 13:48:28.411788032+00:00,SF12BW125,-98,trial,6.0
3,2019-10-24 13:48:34.752850176+00:00,SF12BW125,-105,trial,5.8
4,2019-10-24 13:48:40.263343104+00:00,SF12BW125,-102,trial,3.2
5,2019-10-24 13:49:46.374146816+00:00,SF12BW125,-108,trial,0.5
6,2019-10-24 13:50:52.494988032+00:00,SF12BW125,-110,trial,-1.8
7,2019-10-24 13:51:58.609664+00:00,SF12BW125,-105,trial,3.8
8,2019-10-24 13:53:04.723598848+00:00,SF12BW125,-108,trial,0.8
9,2019-10-24 13:56:51.438700032+00:00,SF12BW125,-106,trial,1.5
10,2019-10-24 13:56:58.916632832+00:00,SF12BW125,-113,trial,-7.2
11,2019-10-24 13:58:05.027523072+00:00,SF12BW125,-108,trial,-1.5
12,2019-10-24 13:59:11.149147136+00:00,SF12BW125,-110,trial,-1.0
13,2019-10-24 14:01:23.376817920+00:00,SF12BW125,-108,trial,2.2
14,2019-10-24 14:02:29.499510016+00:00,SF12BW125,-108,trial,0.8
15,2019-10-24 14:03:35.612297984+00:00,SF12BW125,-108,trial,0.5
16,2019-10-24 14:04:41.727238912+00:00,SF12BW125,-112,trial,-2.5
17,2019-10-24 14:05:47.851607040+00:00,SF12BW125,-108,trial,-0.8
18,2019-10-24 14:06:53.961420032+00:00,SF12BW125,-109,trial,1.0
19,2019-10-24 14:08:00.104775936+00:00,SF12BW125,-108,trial,0.5
20,2019-10-24 14:52:09.032617984+00:00,SF12BW125,-109,trial,-9.8
21,2019-10-24 14:52:20.602458112+00:00,SF12BW125,-112,trial,0.2
22,2019-10-24 14:52:27.955857920+00:00,SF12BW125,-112,trial,-5.0
23,2019-10-24 14:52:36.282413056+00:00,SF12BW125,-110,trial,-1.8
24,2019-10-24 14:52:57.631062016+00:00,SF12BW125,-109,trial,-1.8
25,2019-10-24 14:53:10.179738880+00:00,SF12BW125,-111,trial,-8.0
26,2019-10-24 14:53:26.826148096+00:00,SF12BW125,-113,trial,-3.8
27,2019-10-24 14:53:33.484741888+00:00,SF12BW125,-109,trial,-1.8
28,2019-10-24 14:53:38.522327040+00:00,SF12BW125,-111,trial,-2.8
29,2019-10-24 14:53:45.130606848+00:00,SF12BW125,-109,trial,-0.8
30,2019-10-24 14:53:50.051376128+00:00,SF12BW125,-109,trial,-1.5
31,2019-10-24 14:53:53.587599872+00:00,SF12BW125,-111,trial,-3.0
32,2019-10-24 14:53:57.758291968+00:00,SF12BW125,-112,trial,1.2
33,2019-10-25 07:48:36.919876096+00:00,SF12BW125,-111,node2,-9.2
34,2019-10-25 07:48:38.625172992+00:00,SF12BW125,-113,node3,-6.8
35,2019-10-25 07:49:08.322297088+00:00,SF12BW125,-109,node1,-2.2
36,2019-10-25 08:42:29.621053952+00:00,SF12BW125,-91,node1,5.5
37,2019-10-25 08:43:36.403971072+00:00,SF12BW125,-96,node1,6.8
38,2019-10-25 08:45:48.636720896+00:00,SF12BW125,-89,node1,7.5
39,2019-10-25 08:46:54.756562944+00:00,SF12BW125,-85,node1,8.2
40,2019-10-25 08:48:00.868734976+00:00,SF12BW125,-88,node1,7.2
41,2019-10-25 08:49:06.988235008+00:00,SF12BW125,-87,node1,6.8
42,2019-10-25 08:50:13.102045952+00:00,SF12BW125,-87,node1,8.0
43,2019-10-25 08:51:19.212189952+00:00,SF12BW125,-89,node1,9.2
44,2019-10-25 08:51:44.397464064+00:00,SF12BW125,-106,node2,3.2
45,2019-10-25 08:52:25.336061952+00:00,SF12BW125,-84,node1,6.0
46,2019-10-25 08:52:50.516616192+00:00,SF12BW125,-103,node2,1.0
47,2019-10-25 08:53:31.447460864+00:00,SF12BW125,-89,node1,8.0
48,2019-10-25 08:53:56.636764160+00:00,SF12BW125,-111,node2,-5.0
49,2019-10-25 08:54:37.573487872+00:00,SF12BW125,-85,node1,8.5
50,2019-10-25 08:55:02.754010880+00:00,SF12BW125,-107,node2,1.5
51,2019-10-25 08:55:43.686028032+00:00,SF12BW125,-85,node1,8.0
52,2019-10-25 08:56:08.865058048+00:00,SF12BW125,-101,node2,4.8
53,2019-10-25 08:56:49.801709056+00:00,SF12BW125,-88,node1,8.0
54,2019-10-25 08:57:14.982931968+00:00,SF12BW125,-100,node2,6.0
55,2019-10-25 08:57:55.929216+00:00,SF12BW125,-87,node1,10.0
56,2019-10-25 08:58:21.101211904+00:00,SF12BW125,-101,node2,4.5
57,2019-10-25 08:59:02.041856+00:00,SF12BW125,-87,node1,10.2
58,2019-10-25 08:59:27.223685120+00:00,SF12BW125,-101,node2,4.5
59,2019-10-25 09:00:08.152952064+00:00,SF12BW125,-85,node1,6.8
60,2019-10-25 09:00:33.334737920+00:00,SF12BW125,-101,node2,4.0
61,2019-10-25 09:01:14.276967936+00:00,SF12BW125,-85,node1,8.0
62,2019-10-25 09:01:39.457603072+00:00,SF12BW125,-102,node2,5.0
63,2019-10-25 09:02:20.387046144+00:00,SF12BW125,-87,node1,5.5
64,2019-10-25 09:02:45.567984128+00:00,SF12BW125,-102,node2,4.8
65,2019-10-25 09:03:06.837678848+00:00,SF12BW125,-113,node3,-6.8
66,2019-10-25 09:03:51.685383936+00:00,SF12BW125,-102,node2,4.5
67,2019-10-25 09:04:12.959311872+00:00,SF12BW125,-113,node3,-11.8
68,2019-10-25 09:04:32.624504064+00:00,SF12BW125,-87,node1,8.5
69,2019-10-25 09:04:57.807694080+00:00,SF12BW125,-102,node2,5.5
70,2019-10-25 09:05:19.076233984+00:00,SF12BW125,-112,node3,-17.8
71,2019-10-25 09:05:38.741190912+00:00,SF12BW125,-88,node1,8.0
72,2019-10-25 09:06:03.927771136+00:00,SF12BW125,-101,node2,5.0
73,2019-10-25 09:06:25.192732160+00:00,SF12BW125,-111,node3,-0.2
74,2019-10-25 09:06:44.859683072+00:00,SF12BW125,-85,node1,5.5
75,2019-10-25 09:07:10.038657792+00:00,SF12BW125,-101,node2,5.0
76,2019-10-25 09:07:31.304562176+00:00,SF12BW125,-109,node3,0.8
77,2019-10-25 09:07:50.974035968+00:00,SF12BW125,-87,node1,6.5
78,2019-10-25 09:08:16.157371136+00:00,SF12BW125,-101,node2,4.8
79,2019-10-25 09:08:37.425435136+00:00,SF12BW125,-108,node3,-0.5
80,2019-10-25 09:08:57.093477888+00:00,SF12BW125,-85,node1,6.8
81,2019-10-25 09:09:22.276536064+00:00,SF12BW125,-100,node2,6.0
82,2019-10-25 09:09:43.541605120+00:00,SF12BW125,-109,node3,0.8
